270	AttributeError: 'Companion_19' object has no attribute 'constructor'
258	AttributeError: 'int' object has no attribute '__add__'
182	NameError: name 'js' isn't defined
182	NameError: name 'visitTry_org_jetbrains_kotlin_ir_expressions_impl_IrTryImpl' isn't defined
166	NameError: name 'visitExpression_other_org_jetbrains_kotlin_ir_expressions_impl_IrFunctionReferenceImpl' isn't defined
159	NameError: name 'Unexpected_operator_EQ' isn't defined
136	AttributeError: type object 'IllegalStateException' has no attribute '__new__'
135	MemoryError: memory allocation failed, allocating 160 byte
105	kotlin.NotImplementedError: An operation is not implemented.
93	org.junit.ComparisonFailure: expected:<[OK]> but was:<[None]>
83	MemoryError: memory allocation failed, allocating 160 bytes
61	NameError: name 'Array' isn't defined
55	AttributeError: 'int' object has no attribute 'data'
51	MemoryError: memory allocation failed, allocating 72 bytes
44	MemoryError: memory allocation failed, allocating 14826 bytes
43	TypeError: can't convert 'NoneType' object to str implicitly
41	NameError: name 'kotlin_String' isn't defined
40	NameError: local variable referenced before assignment
40	SyntaxError: invalid syntax
40	TypeError: 'NoneType' object isn't callable
39	AttributeError: '_no_name_provided__11' object has no attribute 'constructor'
39	MemoryError: memory allocation failed, allocating 14812 bytes
38	NameError: name 'kotlin_Any' isn't defined
37	MemoryError: memory allocation failed, allocating 14834 bytes
34	MemoryError: memory allocation failed, allocating 11512 bytes
33	AttributeError: 'int' object has no attribute 'compareTo_wiekkq_k_'
32	AttributeError: type object 'A' has no attribute '__new__'
31	MemoryError: memory allocation failed, allocating 14820 bytes
30	NameError: name 'kotlin_Any_' isn't defined
29	MemoryError: memory allocation failed, allocating 11528 bytes
28	MemoryError: memory allocation failed, allocating 14802 bytes
27	MemoryError: memory allocation failed, allocating 14836 bytes
26	MemoryError: memory allocation failed, allocating 14828 bytes
26	org.junit.ComparisonFailure: expected:<[OK]> but was:<[fail]>
24	AttributeError: '_no_name_provided__10' object has no attribute 'constructor'
23	AttributeError: 'CheckStateMachineContinuation' object has no attribute 'constructor'
23	kotlin.NotImplementedError: An operation is not implemented: IrSpreadElementImpl is not supported yet here
20	RuntimeError: maximum recursion depth exceeded
20	TypeError: unsupported types for __add__: 'NoneType', 'int'
19	MemoryError: memory allocation failed, allocating 11520 bytes
18	NameError: name 'kotlin_Int' isn't defined
17	AttributeError: '_no_name_provided__1_2' object has no attribute 'constructor'
17	AttributeError: type object 'AssertionError' has no attribute '__new__'
17	NameError: name 'kotlin_Double' isn't defined
17	TypeError: unsupported types for __add__: 'NoneType', 'NoneType'
15	MemoryError: memory allocation failed, allocating 14786 bytes
15	org.junit.ComparisonFailure: expected:<[OK]> but was:<[Fail 0]>
14	AttributeError: '_no_name_provided__12' object has no attribute 'constructor'
14	NameError: name 'kotlin_Result_T_' isn't defined
14	TypeError: can't convert 'int' object to str implicitly
13	AttributeError: type object 'Exception' has no attribute '__new__'
13	MemoryError: memory allocation failed, allocating 14788 bytes
13	MemoryError: memory allocation failed, allocating 14815 bytes
13	MemoryError: memory allocation failed, allocating 14831 bytes
13	SyntaxError: non-keyword arg after */**
12	MemoryError: memory allocation failed, allocating 14770 bytes
12	NameError: name 'kotlin_UInt' isn't defined
